date,index_canada,index_mexico,index_china,index_usa
11feb2025,.9894433,.98999983,.99001956,.99217367
12feb2025,.98968095,.990394,.99361795,.99222267
13feb2025,.98943591,.98993093,.99334836,.99235809
14feb2025,.99046868,.98557025,.98894489,.99234617
15feb2025,.99090201,.98549151,.98816901,.99253577
16feb2025,.98923886,.98515755,.98692703,.9925397
17feb2025,.98906815,.98651654,.98729527,.99344343
18feb2025,.98797268,.98869783,.98866397,.99381769
19feb2025,.98848408,.98542774,.98853779,.99358118
20feb2025,.98942947,.98567456,.98934716,.99411356
21feb2025,.98965627,.98498642,.98926532,.99492544
22feb2025,.9901427,.98494339,.98898214,.99491906
23feb2025,.98997992,.98484397,.98893714,.99506128
24feb2025,.99022812,.98622918,.98878038,.99551606
25feb2025,.99138492,.98585188,.98853207,.99569762
26feb2025,.99053872,.98589653,.98789936,.99578863
27feb2025,.99036419,.99060702,.98753726,.99669957
28feb2025,.99037683,.99103761,.98635465,.99686092
01mar2025,.98965627,.99200827,.98604369,.99770546
02mar2025,.98889422,.99076921,.98567045,.99710059
03mar2025,.9894774,.98964554,.98531479,.99623787
04mar2025,.98925477,.98903906,.98501545,.99598193
05mar2025,.98899263,.98743725,.9847998,.99614161
06mar2025,.98947245,.98674333,.98571527,.99625373
07mar2025,.9927128,.98706716,.98987019,.99924028
08mar2025,.99325323,.98225415,.99051344,.99849939
09mar2025,.99356097,.98217767,.99052948,.99915546
10mar2025,.99593836,.98982096,.99183649,1.0015585
11mar2025,.99793744,.98857373,.99307811,1.0018008
12mar2025,.99567521,.98909158,.99272549,1.0019605
13mar2025,.99610299,.98970449,.99284655,1.0029482
14mar2025,.99506778,.99045223,.99400383,1.0036097
15mar2025,.99567854,.98947608,.9943285,1.0036522
16mar2025,.99468297,.99030507,.99479491,1.0034825
17mar2025,.99548227,.99183184,.99530178,1.0037253
18mar2025,.99636865,.99014771,.99546123,1.0046366
19mar2025,.99685103,.99219382,.99602109,1.0050014
20mar2025,.99670714,.99027872,.99613339,1.0048468
21mar2025,.99702108,.99028981,.99644935,1.0051517
22mar2025,.99664009,.99057984,.99639601,1.0048298
23mar2025,.99662161,.99026144,.99570626,1.0048771
24mar2025,.99489349,.99119627,.99597049,1.0050001
25mar2025,.99442697,.99128515,.99575633,1.0051057
26mar2025,.995166,.98961467,.99530065,1.0051022
27mar2025,.99513751,.98769963,.9956935,1.0050833
28mar2025,.99659747,.98786622,.99588543,1.005007
29mar2025,.99506819,.98749173,.99583101,1.0050539
30mar2025,.99627519,.98999184,.99609339,1.0050203
31mar2025,.99660867,.9880147,.99671918,1.0052367
01apr2025,.9984569,.98769063,.99778605,1.0052553
02apr2025,.99904621,.9876433,.99829406,1.0057473
03apr2025,.99715549,.98676395,.99873281,1.0055708
04apr2025,.99475646,.98615295,.99814594,1.0045909
05apr2025,.99573219,.98623526,.99846232,1.0048234
06apr2025,.99562585,.98306966,.99779135,1.0049837
07apr2025,.99629325,.98489374,.99862063,1.0048976
08apr2025,.99629813,.98429281,.99965775,1.0052463
09apr2025,.99741822,.98425472,.99980134,1.0053005
10apr2025,.99804068,.98401248,1.0000292,1.0052141
11apr2025,.9989081,.98387599,1.001652,1.0054129
12apr2025,.99924988,.98374528,1.0020999,1.005188
13apr2025,.99760479,.98171043,1.0017588,1.0050945
14apr2025,.99695373,.98108298,1.0012323,1.0047151
15apr2025,.99705333,.97990978,1.0013585,1.0047517
16apr2025,.99777228,.97983044,1.0036018,1.0050333
17apr2025,.99858004,.97979462,1.0045917,1.005439
18apr2025,1.0000829,.98120159,1.0053645,1.0051308
19apr2025,1.0002017,.98105139,1.0054138,1.0051408
20apr2025,1.0004373,.98346853,1.0064038,1.0050856
21apr2025,1.0017388,.98361087,1.0064743,1.0056847
22apr2025,1.0031034,.98474264,1.0066822,1.0058514
23apr2025,1.0035288,.98546767,1.0075537,1.0059152
24apr2025,1.0032443,.98919755,1.0078549,1.0069947
25apr2025,1.0041473,.98810172,1.0083613,1.0082313
26apr2025,1.0047219,.98785561,1.0082079,1.0083398
27apr2025,1.0051261,.98692149,1.0076259,1.0083696
28apr2025,1.0058453,.98718905,1.007462,1.0083075
29apr2025,1.006374,.98643494,1.0073469,1.0076294
